level,canton,number,abbr_de,abbr_fr,abbr_it,aliases,title_de
federal,,143.1,AwG,LDI,LDI,AWG|LDI,"Bundesgesetz vom 22. Juni 2001 über die Ausweise für Schweizer Staatsangehörige (Ausweisgesetz, AwG)"
federal,,143.11,VAwG,OLDI,ODI,ODI|OLDI|VAWG,"Verordnung vom 20. September 2002 über die Ausweise für Schweizer Staatsangehörige (Ausweisverordnung, VAwG)"
federal,,143.116,VVAwG,OOLDI,O-ODI-DFAE,O-ODI-DFAE|OOLDI|VVAWG,Verordnung des EDA vom 13. November 2002 zur Ausweisverordnung (VVAwG)
federal,,143.5,RDV,ODV,ODV,ODV|RDV,Verordnung vom 14. November 2012 über die Ausstellung von Reisedokumenten für ausländische Personen (RDV)
federal,,151.1,GlG,LEg,LPar,GLG|LEG|LPAR,"Bundesgesetz vom 24. März 1995 über die Gleichstellung von Frau und Mann (Gleichstellungsgesetz, GlG)"
federal,,151.3,BehiG,LHand,LDis,BEHIG|LDIS|LHAND,"Bundesgesetz vom 13. Dezember 2002 über die Beseitigung von Benachteiligungen von Menschen mit Behinderungen (Behindertengleichstellungsgesetz, BehiG)"
federal,,151.31,BehiV,OHand,ODis,BEHIV|ODIS|OHAND,"Verordnung vom 19. November 2003 über die Beseitigung von Benachteiligungen von Menschen mit Behinderungen (Behindertengleichstellungsverordnung, BehiV)"
federal,,151.34,VböV,OThand,OTDis,OTDIS|OTHAND|VBÖV,Verordnung vom 12. November 2003 über die behindertengerechte Gestaltung des öffentlichen Verkehrs (VböV)
federal,,151.342,VAböV,OETHand,ORTDis,OETHAND|ORTDIS|VABÖV,Verordnung des UVEK vom 23. März 2016 über die technischen Anforderungen an die behindertengerechte Gestaltung des öffentlichen Verkehrs (VAböV)
federal,,152.1,BGA,LAr,LAr,BGA|LAR,"Bundesgesetz vom 26. Juni 1998 über die Archivierung (Archivierungsgesetz, BGA)"
federal,,152.11,VBGA,OLAr,OLAr,OLAR|VBGA,"Verordnung vom 8. September 1999 zum Bundesgesetz über die Archivierung (Archivierungsverordnung, VBGA)"
federal,,152.3,BGÖ,LTrans,LTras,BGÖ|LTRANS|LTRAS,"Bundesgesetz vom 17. Dezember 2004 über das Öffentlichkeitsprinzip der Verwaltung (Öffentlichkeitsgesetz, BGÖ)"
federal,,152.31,VBGÖ,OTrans,OTras,OTRANS|OTRAS|VBGÖ,"Verordnung vom 24. Mai 2006 über das Öffentlichkeitsprinzip der Verwaltung (Öffentlichkeitsverordnung, VBGÖ)"
federal,,161.1,BPR,LDP,LDP,BPR|LDP,Bundesgesetz vom 17. Dezember 1976 über die politischen Rechte (BPR)
federal,,161.11,VPR,ODP,ODP,ODP|VPR,Verordnung vom 24. Mai 1978 über die politischen Rechte (VPR)
federal,,161.116,VEleS,OVotE,OVE,OVE|OVOTE|VELES,Verordnung der BK vom 25. Mai 2022 über die elektronische Stimmabgabe (VEleS)
federal,,161.18,VPofi,OFipo,OFiPo,OFIPO|VPOFI,Verordnung vom 24. August 2022 über die Transparenz bei der Politikfinanzierung (VPofi)
federal,,170.32,VG,LRCF,LResp,LRCF|LRESP|VG,"Bundesgesetz vom 14. März 1958 über die Verantwortlichkeit des Bundes sowie seiner Behördemitglieder und Beamten (Verantwortlichkeitsgesetz, VG)"
federal,,170.512,PublG,LPubl,LPubb,LPUBB|LPUBL|PUBLG,"Bundesgesetz vom 18. Juni 2004 über die Sammlungen des Bundesrechts und das Bundesblatt (Publikationsgesetz, PublG)"
federal,,170.512.1,PublV,OPubl,OPubb,OPUBB|OPUBL|PUBLV,"Verordnung vom 7. Oktober 2015 über die Sammlungen des Bundesrechts und das Bundesblatt (Publikationsverordnung, PublV)"
federal,,171.10,ParlG,LParl,LParl,LPARL|PARLG,"Bundesgesetz vom 13. Dezember 2002 über die Bundesversammlung (Parlamentsgesetz, ParlG)"
federal,,171.115,ParlVV,OLPA,Oparl,OLPA|OPARL|PARLVV,"Verordnung der Bundesversammlung vom 3. Oktober 2003 zum Parlamentsgesetz und über die Parlamentsverwaltung (Parlamentsverwaltungsverordnung, ParlVV)"
federal,,171.117,VPiB,ORInt,ORInt,ORINT|VPIB,Verordnung der Bundesversammlung vom 28. September 2012 über die Pflege der internationalen Beziehungen des Parlamentes (VPiB)
federal,,171.13,GRN,RCN,RCN,GRN|RCN,Geschäftsreglement des Nationalrates vom 3. Oktober 2003 (GRN)
federal,,171.14,GRS,RCE,RCS,GRS|RCE|RCS,Geschäftsreglement des Ständerates vom 20. Juni 2003 (GRS)
federal,,171.21,PRG,LMAP,LI,LI|LMAP|PRG,"Bundesgesetz vom 18. März 1988 über Bezüge und Infrastruktur der Mitglieder der eidgenössischen Räte und über die Beiträge an die Fraktionen (Parlamentsressourcengesetz, PRG)"
federal,,171.211,VPRG,OMAP,,OMAP|VPRG,Verordnung der Bundesversammlung vom 18. März 1988 zum Parlamentsressourcengesetz (VPRG)
federal,,172.010,RVOG,LOGA,LOGA,LOGA|RVOG,Regierungs- und Verwaltungsorganisationsgesetz vom 21. März 1997 (RVOG)
federal,,172.010.1,RVOV,OLOGA,OLOGA,OLOGA|RVOV,Regierungs- und Verwaltungsorganisationsverordnung vom 25. November 1998 (RVOV)
federal,,172.010.14,OrFV,OdelO,OTOr,ODELO|ORFV|OTOR,"Verordnung vom 25. Mai 2011 über Grundsätze und Ordnungsfristen für Bewilligungsverfahren (Ordnungsfristenverordnung, OrFV)"
federal,,172.010.21,VILB,OILC,OILC,OILC|VILB,Verordnung vom 5. Dezember 2008 über das Immobilienmanagement und die Logistik des Bundes (VILB)
federal,,172.010.31,IGEG,LIPI,LIPI,IGEG|LIPI,Bundesgesetz vom 24. März 1995 über Statut und Aufgaben des Eidgenössischen Instituts für Geistiges Eigentum (IGEG)
federal,,172.010.311,IGE-OV,OIPI,OIPI,IGE-OV|OIPI,Verordnung vom 25. Oktober 1995 über die Organisation des Eidgenössischen Instituts für Geistiges Eigentum (IGE-OV)
federal,,172.010.321,IGE-PersV,Oper-IPI,OPer-IPI,IGE-PERSV|OPER-IPI,Verordnung vom 30. September 1996 über das Statut des Personals des Eidgenössischen Instituts für Geistiges Eigentum (IGE-PersV)
federal,,172.010.331,V-LTDB,O-STAC,O-STAC,O-STAC|V-LTDB,Verordnung vom 24. Juni 2009 über den Lufttransportdienst des Bundes (V-LTDB)
federal,,172.010.422,,OCNAT,OCNAT,OCNAT,Verordnung vom 23. November 2022 über den Nationalen Terrorausschuss (NATA-Verordnung)
federal,,172.010.442,VBNIB,OTUIC,OTUIC,OTUIC|VBNIB,Verordnung vom 22. Februar 2012 über die Bearbeitung von Personendaten und Daten juristischer Personen bei der Nutzung der elektronischen Infrastruktur des Bundes (VBNIB)
federal,,172.010.58,VDTI,OTNI,OTDI,OTDI|OTNI|VDTI,"Verordnung vom 25. November 2020 über die Koordination der digitalen Transformation und die IKT-Lenkung in der Bundesverwaltung (Verordnung über die digitale Transformation und die Informatik, VDTI) "
federal,,172.010.59,IAMV,OIAM,OIAM,IAMV|OIAM,Verordnung vom 19. Oktober 2016 über Identitätsverwaltungs-Systeme und Verzeichnisdienste des Bundes (IAMV)
